               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.022277,            0.013508,                   0,             0.93545,             0.89227,             0.95315,             0.59328,            0.024651,            0.010719,                   0,           0.0056906,           0.0056906,           0.0056906
                  39,            0.021996,            0.013659,                   0,             0.88515,             0.90244,              0.9441,             0.59632,            0.024534,            0.010713,                   0,           0.0055741,           0.0055741,           0.0055741
                  40,            0.021266,            0.013089,                   0,             0.93126,             0.88832,             0.95264,             0.60301,            0.024616,            0.010791,                   0,           0.0054576,           0.0054576,           0.0054576
                  41,            0.021263,            0.013314,                   0,             0.92173,             0.88993,             0.95902,             0.61321,            0.024126,            0.010312,                   0,           0.0053412,           0.0053412,           0.0053412
                  42,            0.021101,            0.012767,                   0,             0.92446,             0.88852,              0.9464,             0.59471,            0.025366,            0.011064,                   0,           0.0052247,           0.0052247,           0.0052247
                  43,            0.020645,            0.013282,                   0,             0.90494,             0.91407,             0.95908,             0.61033,            0.023813,            0.010549,                   0,           0.0051082,           0.0051082,           0.0051082
                  44,             0.02015,            0.013444,                   0,             0.93922,             0.90469,             0.96212,             0.61463,            0.023692,            0.010369,                   0,           0.0049918,           0.0049918,           0.0049918
                  45,            0.020487,            0.012262,                   0,             0.93792,             0.91569,             0.96209,             0.62397,            0.023348,            0.010624,                   0,           0.0048753,           0.0048753,           0.0048753
                  46,            0.019999,            0.012774,                   0,              0.9282,              0.8993,             0.94477,             0.60767,            0.024338,            0.011016,                   0,           0.0047588,           0.0047588,           0.0047588
                  47,            0.019855,            0.013024,                   0,             0.94285,              0.8886,             0.95162,             0.61057,            0.024081,            0.010483,                   0,           0.0046424,           0.0046424,           0.0046424
                  48,            0.019417,            0.012081,                   0,             0.90159,             0.92257,             0.95019,             0.60546,            0.024513,            0.011206,                   0,           0.0045259,           0.0045259,           0.0045259
                  49,            0.019513,            0.012481,                   0,             0.92139,              0.9058,              0.9607,             0.61588,            0.023596,            0.010792,                   0,           0.0044094,           0.0044094,           0.0044094
                  50,            0.019213,            0.012607,                   0,             0.91743,             0.93678,             0.97248,             0.63022,            0.023437,            0.010641,                   0,           0.0042929,           0.0042929,           0.0042929
                  51,            0.018953,            0.011849,                   0,              0.9499,             0.93248,             0.97419,             0.63684,            0.023392,            0.010555,                   0,           0.0041765,           0.0041765,           0.0041765
                  52,            0.018736,            0.011903,                   0,             0.93767,             0.91597,             0.95921,             0.62525,             0.02399,            0.011439,                   0,             0.00406,             0.00406,             0.00406
                  53,            0.018749,            0.012463,                   0,             0.92503,             0.92469,             0.96285,              0.6318,            0.023242,            0.010358,                   0,           0.0039435,           0.0039435,           0.0039435
                  54,            0.018675,            0.012129,                   0,             0.94354,             0.90017,             0.95934,             0.62552,            0.023841,            0.010768,                   0,           0.0038271,           0.0038271,           0.0038271
                  55,            0.018192,            0.011959,                   0,             0.93699,             0.90541,             0.95952,             0.62804,            0.023268,            0.010847,                   0,           0.0037106,           0.0037106,           0.0037106
                  56,            0.018067,            0.012055,                   0,             0.93875,             0.89734,             0.96133,             0.64224,            0.023344,            0.010604,                   0,           0.0035941,           0.0035941,           0.0035941
                  57,            0.017735,            0.011754,                   0,             0.93731,             0.92037,              0.9579,              0.6247,              0.0235,            0.010715,                   0,           0.0034776,           0.0034776,           0.0034776
                  58,            0.017624,            0.011743,                   0,             0.94703,             0.91569,             0.97462,             0.64734,            0.022966,            0.010811,                   0,           0.0033612,           0.0033612,           0.0033612
                  59,            0.017413,            0.011778,                   0,              0.9344,             0.90398,             0.96555,             0.63867,            0.023056,            0.010811,                   0,           0.0032447,           0.0032447,           0.0032447
                  60,            0.017367,            0.011544,                   0,             0.91694,             0.91803,             0.95458,             0.63687,            0.023204,            0.010728,                   0,           0.0031282,           0.0031282,           0.0031282
                  61,            0.017377,            0.011431,                   0,             0.94663,             0.91379,             0.96234,              0.6404,            0.023106,            0.010638,                   0,           0.0030118,           0.0030118,           0.0030118
                  62,            0.017589,             0.01187,                   0,             0.94206,             0.93208,             0.96418,             0.64636,            0.022545,            0.010504,                   0,           0.0028953,           0.0028953,           0.0028953
                  63,            0.017009,            0.011449,                   0,             0.93924,             0.92037,             0.96275,             0.63898,            0.023074,            0.010915,                   0,           0.0027788,           0.0027788,           0.0027788
                  64,            0.016725,            0.011313,                   0,             0.91609,             0.92046,             0.96296,             0.64178,             0.02295,            0.010847,                   0,           0.0026624,           0.0026624,           0.0026624
                  65,            0.016671,            0.011051,                   0,             0.94662,             0.92974,             0.96912,             0.64649,            0.022699,            0.010785,                   0,           0.0025459,           0.0025459,           0.0025459
                  66,            0.016594,            0.011371,                   0,             0.93392,             0.92672,             0.96908,             0.65229,            0.022697,            0.010787,                   0,           0.0024294,           0.0024294,           0.0024294
                  67,            0.016493,            0.010869,                   0,             0.93684,              0.9274,             0.96978,             0.64701,            0.022839,            0.010933,                   0,           0.0023129,           0.0023129,           0.0023129
                  68,            0.016057,            0.011011,                   0,             0.93989,             0.94145,              0.9745,             0.65899,            0.022409,              0.0109,                   0,           0.0021965,           0.0021965,           0.0021965
                  69,            0.016008,            0.010785,                   0,             0.93994,             0.95301,             0.97013,             0.65373,            0.022762,            0.010946,                   0,             0.00208,             0.00208,             0.00208
                  70,            0.015563,            0.010611,                   0,              0.9443,             0.93677,             0.97307,             0.64654,            0.022687,            0.010847,                   0,           0.0019635,           0.0019635,           0.0019635
                  71,            0.015567,            0.010535,                   0,             0.94762,             0.93208,             0.97268,             0.65297,            0.022456,            0.011159,                   0,           0.0018471,           0.0018471,           0.0018471
                  72,            0.015691,            0.011019,                   0,             0.94375,             0.94309,             0.97349,             0.65843,            0.022288,            0.010966,                   0,           0.0017306,           0.0017306,           0.0017306
                  73,            0.015085,            0.010432,                   0,             0.94351,             0.93876,             0.97119,             0.65259,            0.022561,            0.011079,                   0,           0.0016141,           0.0016141,           0.0016141
                  74,            0.015589,            0.010702,                   0,             0.94761,             0.93443,              0.9725,             0.65547,            0.022214,            0.010963,                   0,           0.0014976,           0.0014976,           0.0014976
                  75,            0.015097,            0.010632,                   0,             0.95909,             0.93341,             0.97383,              0.6601,            0.022273,            0.011093,                   0,           0.0013812,           0.0013812,           0.0013812
                  76,            0.015022,            0.010335,                   0,             0.95015,             0.93739,             0.97595,             0.65475,            0.022582,            0.010994,                   0,           0.0012647,           0.0012647,           0.0012647
                  77,            0.014891,            0.010266,                   0,             0.95437,             0.94145,             0.97444,              0.6552,            0.022337,            0.011033,                   0,           0.0011482,           0.0011482,           0.0011482
                  78,            0.014784,            0.010758,                   0,             0.94794,             0.93821,             0.97488,             0.66053,             0.02207,            0.010871,                   0,           0.0010318,           0.0010318,           0.0010318
                  79,            0.014577,            0.010504,                   0,              0.9509,              0.9525,             0.97916,             0.66653,            0.022042,            0.010835,                   0,          0.00091529,          0.00091529,          0.00091529
                  80,            0.014296,            0.010294,                   0,             0.95719,             0.94252,             0.97424,             0.65731,            0.022196,            0.011051,                   0,          0.00079882,          0.00079882,          0.00079882
                  81,             0.01427,            0.010268,                   0,             0.96387,             0.93713,              0.9749,             0.66082,            0.022254,            0.011159,                   0,          0.00068235,          0.00068235,          0.00068235
                  82,            0.014324,            0.010117,                   0,             0.95218,             0.94614,             0.97426,             0.66224,            0.022443,            0.011127,                   0,          0.00056588,          0.00056588,          0.00056588
                  83,             0.01437,            0.010105,                   0,             0.95082,             0.95087,             0.97502,             0.66164,             0.02232,            0.011119,                   0,          0.00044941,          0.00044941,          0.00044941
                  84,            0.013834,            0.009966,                   0,             0.95528,              0.9506,             0.97478,             0.66666,             0.02209,            0.011077,                   0,          0.00033294,          0.00033294,          0.00033294
